LF1,LF2,class
-0.6600405,-1.3970413,beta_2_pda
1.6067446,-0.81713414,beta_4_balanced
2.068653,0.020182129,beta_1_yule
0.11860514,2.2239347,beta_5_unbalanced
-1.0478778,-1.6349019,beta_2_pda
0.8221346,-1.9083445,beta_3_ab
-1.9061137,-0.611966,beta_2_pda
0.8557256,-1.8817575,beta_1_yule
1.8391509,-0.31378278,beta_1_yule
3.5118446,1.0066228,beta_4_balanced
2.5791187,0.16291958,beta_4_balanced
3.0144749,1.146721,beta_4_balanced
2.3340914,0.29737642,beta_4_balanced
-0.8023132,1.859724,beta_5_unbalanced
0.48058638,-2.1487274,beta_3_ab
1.2486522,-1.659713,beta_3_ab
-2.4377196,-0.70922965,beta_2_pda
-1.3900992,1.219231,beta_5_unbalanced
-2.235313,-0.21408615,beta_2_pda
-0.38969815,-1.3794384,beta_3_ab
0.3812786,-2.1141465,beta_3_ab
-1.3339657,-1.1741922,beta_2_pda
3.2621171,0.80719,beta_4_balanced
0.29710335,-2.2066262,beta_3_ab
2.2883866,-0.23484546,beta_4_balanced
-2.2189822,-0.6576366,beta_2_pda
0.870273,-1.9627172,beta_3_ab
-1.4918395,-1.2876089,beta_2_pda
1.725992,-0.8476959,beta_1_yule
1.0484883,-1.4264705,beta_1_yule
1.0717089,-1.2997415,beta_1_yule
-1.7800802,-0.70062715,beta_2_pda
0.52480084,-1.9276849,beta_3_ab
-2.0674777,-0.69971716,beta_2_pda
-1.6836158,-1.137831,beta_2_pda
0.0147200525,1.4625154,beta_5_unbalanced
-1.0541762,-1.51803,beta_3_ab
-0.8885456,-1.1678567,beta_2_pda
-1.4106878,0.59103835,beta_5_unbalanced
-1.955985,-0.6487528,beta_2_pda
-1.3597281,0.8554701,beta_5_unbalanced
-0.84840333,1.2193679,beta_5_unbalanced
2.0579896,-0.6255776,beta_4_balanced
0.26885608,-2.018953,beta_3_ab
1.0676918,-1.1267345,beta_1_yule
-1.7884431,-0.7094562,beta_2_pda
1.2445275,-1.2730813,beta_1_yule
2.5517662,0.05031666,beta_4_balanced
0.079493225,1.3659505,beta_5_unbalanced
-1.471694,-1.5074133,beta_2_pda
-0.4880396,2.1022677,beta_5_unbalanced
2.5075126,0.8311194,beta_4_balanced
-1.7990315,-0.8069037,beta_2_pda
2.3383284,0.14218698,beta_4_balanced
1.4915473,-1.1851498,beta_1_yule
2.7387612,1.4372579,beta_4_balanced
-0.31784645,1.145832,beta_5_unbalanced
1.864383,0.8601215,beta_4_balanced
-0.4724176,1.0016531,beta_5_unbalanced
-0.72046804,1.5354813,beta_5_unbalanced
1.6215928,-1.1504289,beta_1_yule
-1.9024606,-0.3605836,beta_2_pda
0.026110128,-2.0700073,beta_3_ab
-0.20698997,-2.3832126,beta_3_ab
-1.683365,-0.38139218,beta_2_pda
0.820011,-1.7142347,beta_3_ab
-0.19253156,-2.5093696,beta_3_ab
1.0886443,-1.3733274,beta_1_yule
-1.5717506,-0.57402545,beta_2_pda
-1.0067526,-1.245494,beta_2_pda
-0.22288477,-2.6359675,beta_3_ab
1.1368594,-1.7654728,beta_3_ab
2.7675366,0.7474554,beta_4_balanced
2.3918126,1.3981141,beta_4_balanced
1.5132866,-1.270492,beta_1_yule
0.11517519,1.6742725,beta_5_unbalanced
0.7545174,-1.9697541,beta_3_ab
2.283783,0.29983354,beta_1_yule
-0.10945441,-2.0221465,beta_3_ab
-2.3465934,-0.714778,beta_2_pda
-0.77586234,1.4576657,beta_5_unbalanced
-0.033822685,1.8223132,beta_5_unbalanced
-2.0420191,-0.5379672,beta_2_pda
-0.5528472,-2.094425,beta_3_ab
-1.9783679,-0.23255265,beta_2_pda
-0.6169944,2.1240454,beta_5_unbalanced
-0.32717216,0.9669493,beta_5_unbalanced
-1.7504975,-0.601787,beta_2_pda
0.91232795,-2.0736957,beta_1_yule
-1.4017692,-1.1355908,beta_2_pda
-0.17066887,0.86177945,beta_5_unbalanced
0.03330309,-1.7443256,beta_3_ab
1.6103847,-1.884272,beta_1_yule
1.6870095,-1.5478194,beta_1_yule
2.3276496,0.5710653,beta_4_balanced
-2.434674,-0.7307016,beta_2_pda
3.012228,1.0454279,beta_4_balanced
-0.8022225,1.7898779,beta_5_unbalanced
1.8524413,0.04439655,beta_4_balanced
0.14133354,-2.0811753,beta_3_ab
-2.0998712,-0.5853676,beta_2_pda
-0.994225,1.4079936,beta_5_unbalanced
-1.6580175,-0.68179375,beta_2_pda
-0.043634027,-1.7370476,beta_3_ab
2.4643817,0.58992994,beta_4_balanced
-0.24919805,1.6095587,beta_5_unbalanced
-1.2509227,0.83999044,beta_5_unbalanced
0.19726893,-2.2316887,beta_3_ab
1.6095988,-0.9363322,beta_1_yule
2.5674224,0.8497009,beta_1_yule
0.1299581,1.4536135,beta_5_unbalanced
2.921884,1.221241,beta_4_balanced
2.007764,-1.3959284,beta_1_yule
2.5807374,-0.20429939,beta_4_balanced
1.598521,-1.453785,beta_1_yule
-2.1093216,-0.6143429,beta_2_pda
-0.7108962,-2.0808172,beta_3_ab
-1.4055597,-0.7979028,beta_2_pda
2.3596518,1.038776,beta_4_balanced
-0.07503724,1.517543,beta_5_unbalanced
-0.62030727,1.5973213,beta_5_unbalanced
2.8411558,0.6858418,beta_4_balanced
1.8174547,-1.1506661,beta_4_balanced
1.4805009,-1.394434,beta_1_yule
1.9561808,-1.3525404,beta_4_balanced
1.8705333,-0.9361525,beta_1_yule
1.2559938,-1.617325,beta_1_yule
